Sample,Type,Class,TPO,TG,NT5E,SLC5A5,ANPEP,CCND1,GAB2,HPSE,DAPK1,EIF5A2,KIT,PTPN14,SFTPC,GATA3
FY.A3NP.01,Other,Tumour,"14,58","15,88",",67","3,73","-4,75","1,48","-,51","-2,62","-3,05","-1,17","1,50","-,08","2,87",",64"
EL.A3GU.01,Other,Tumour,"6,09","13,44","2,50","-,90","-,38","1,72","-,11",",47","-1,49","-,68",",98",",77","-2,40","1,76"
DJ.A2Q1.01,Other,Tumour,"7,00","9,32","3,49",",73","2,45","1,08","-1,19","-1,68","-,85","-1,17","-1,72","-,23","-,36","2,34"
EM.A3AR.01,Other,Tumour,"14,17","15,39","1,86","5,58","-1,99",",66","-1,09","-1,39","-,24","-,25","4,16",",00","-1,35",",63"
EM.A2CK.01,Other,Tumour,"14,79","16,35","1,11","-,38","-3,58","1,41","-,51","-4,12","-4,13","-,94","2,45","-,99","2,31",",73"
DJ.A3VA.01,Other,Tumour,"7,85","13,80","1,77","-2,24","-3,41","1,61","-,01",",72","-1,07","-,91","-,52",",49","-2,49",",90"
DJ.A2PP.01,Other,Tumour,"13,69","16,28",",35","-2,24","-4,35","1,20",",80","-1,04","-4,69","-,31","1,67","-,35","3,89",",48"
DJ.A3V6.01,Other,Tumour,"6,45","13,23","2,88","-1,38","-,66","2,02",",10",",20","-1,17","-1,08","-1,91",",18","-2,37","1,50"
J8.A3YF.01,Other,Tumour,"8,79","13,77","2,64","-,06","-1,51","2,06","-,39","-,81","-,36","-1,71","-2,21","-,47","-2,09","1,82"
EM.A3AN.01,Other,Tumour,"10,33","14,35","3,37","-1,36",",03","1,29","-,54","-1,14","-,18","-,83","1,13","-1,20","-1,05",",45"
J8.A3O1.01,Other,Tumour,"1,43","10,61","5,11","-1,88","-,43","1,89",",33","1,52","-,42","-1,06","-3,35","1,36","-2,87","1,85"
ET.A25M.01,Other,Tumour,"8,10","14,58","2,58","-2,24","-1,52","1,45",",78","-,42","-,97","-1,48","-,26","1,23","-,70","1,11"
EL.A3GV.01,Other,Tumour,"9,60","14,39","2,20","3,11","-2,08","1,68",",67",",12","-,31","-,93",",21","1,25","-2,12","1,22"
ET.A2MZ.01,Other,Tumour,"8,75","15,79",",52","-,96","-1,11","2,15",",41","-1,29","-,54","-1,26",",91",",53","-2,21","2,08"
EL.A3ZR.01,Classical,Tumour,"13,30","15,98","1,32",",90","-2,34","1,51","-,55","-2,09","-3,16","-1,91","-1,37","-1,84","2,60","-5,16"
DJ.A13M.01,Other,Tumour,"14,63","16,14",",39","-,57","-4,35","1,51","-,96","-2,99","-2,53","-1,54","-,29","-2,11","2,32","-1,21"
BJ.A3PT.01,Other,Tumour,"13,71","15,45",",83","5,57","-,67",",93","-,14","-2,52","-1,75","-1,09",",52","-2,01","3,12","1,29"
BJ.A45H.01,Other,Tumour,"12,79","15,53",",90","8,52","-1,09","1,58","-,47","-1,59","-,45","-1,14","1,53","-,39","-,05",",37"
BJ.A0ZB.01,Other,Tumour,"6,43","13,97","1,81","-1,87","-,72","1,60","-,18","-2,06","-,77","-1,72","-,38",",61","-1,00","1,47"
ET.A40R.01,Other,Tumour,"13,00","15,40",",90","6,73","-1,06",",90","-,96","-1,69","-1,01","-1,66","1,03","-1,75",",43",",49"
BJ.A3F0.01,Other,Tumour,"16,42","15,43",",21","13,08","-2,10","1,14",",00","-3,51","-2,71","-1,32","2,81","-1,65","3,35",",61"
FY.A3R6.01,Other,Tumour,"12,56","14,72","2,98","3,23",",29","1,63","-,60",",20","-,47","-,54","1,25",",20",",93",",43"
EM.A3SY.01,Other,Tumour,"13,43","11,77","-,35","-1,75","-3,41","-1,39","-,86","-2,16","-2,74","-1,13","-2,49","-,91","3,48","-,27"
FY.A40K.01,Other,Tumour,"9,98","14,31","1,76","1,90","-1,31",",68",",21",",21",",30","-1,19","-,09",",08","-2,87","2,01"
DJ.A4V0.01,Other,Tumour,"13,28","15,77","1,02","9,19","-,32","1,05","-,76","-,52","-,14","-,70","2,86","-,07","1,56","1,58"
E8.A434.01,Other,Tumour,"12,87","14,72","1,63","6,51","-1,44","1,22","-,28","-,82","-,74","-1,24","2,71","-,89","1,50","1,72"
EL.A3ZG.01,Classical,Tumour,"8,85","14,81","-1,42","2,21","-2,73",",20",",26","-2,28","-3,25","-1,43","-1,63","-,63","-1,52","1,91"
EM.A2CQ.01,Other,Tumour,"13,37","16,14","1,62","3,08","-2,79",",99",",84","-1,00","-4,02","-1,10","1,97",",60","3,00","1,00"
FK.A3S3.01,Other,Tumour,"7,84","14,33","1,72","-,83","-1,98","1,91","-,38","-2,76","-1,79","-1,67","1,02",",00",",01","-1,20"
DJ.A3US.01,Other,Tumour,"13,19","16,02","1,13","1,48","-1,08","1,28","-,73","-,80","-,65","-1,03","3,65","-,28",",39","1,67"
E8.A414.01,Other,Tumour,"11,06","13,70","2,68","6,72","-,61","1,66",",15",",57","-,52","-,60","1,84",",94","-,71","1,78"
E8.A415.01,Other,Tumour,"12,25","14,59","1,29","3,96","-1,62","1,03","-,12",",87","-,21","-1,22","1,48",",08","-,12","1,18"
BJ.A2N8.01,Follicular,Tumour,"10,39","14,32","1,41","1,03","-1,55","1,38","-,41","-1,46","-,64","-1,17","-,09","-,79","1,30","-,07"
DJ.A3UY.01,Other,Tumour,"12,10","14,64","2,47","4,96","-,70","1,38",",34",",08","-,51","-,74","1,82",",71","-,61","1,61"
E8.A418.01,Other,Tumour,"9,31","12,86","-,23","-1,41","-1,74","1,65","-,60",",83","-2,68","-1,60","-,93","-,53","-,83","-,37"
DE.A0Y2.01,Other,Tumour,"7,36","13,32","3,81","2,46","-1,93","2,96",",13",",88","-1,34","-,48","-1,40","1,87","-2,09",",19"
BJ.A0Z3.01,Other,Tumour,"8,50","14,56","2,11",",57","-1,56","1,15","-,15","-,59",",87","-,72",",17",",33","-2,53","2,78"
FY.A40L.01,Other,Tumour,"10,26","13,64","2,03","-1,84","-,97","1,56","-,11","-,24","-1,53","-1,12","-1,74","-,10","-1,16","1,54"
EL.A3CO.01,Other,Tumour,"14,13","14,48","1,79","8,16","1,40",",16",",06",",49",",35",",12","2,15",",39","1,38",",82"
EM.A4FU.01,Other,Tumour,"13,51","15,34","1,44","-,43","-2,55","1,92","-,70","-2,22","-3,61","-1,08","-,60","-1,79","3,15","-,11"
EM.A2CJ.01,Other,Tumour,"15,39","16,22","1,44","4,77","-3,23",",95","-2,73","-1,70","-2,01","-1,63","4,15","-1,98","2,25",",52"
EL.A4K6.01,Other,Tumour,"13,16","14,27",",45","-1,43","-3,60",",24","-1,63","-3,97","-4,22","-1,74","-2,45","-2,25","3,27","-,35"
CE.A482.01,Other,Tumour,"8,93","14,23","2,95","-,67","-1,14","1,99","-,98","-1,09","-,52","-1,23","-1,61",",38","-,22","-,12"
EL.A3H7.01,Classical,Tumour,"5,58","11,52","2,84","-,58","-1,55","2,42",",15",",76","-1,18","-,97","-,81",",23","-1,92","1,27"
BJ.A0ZJ.01,Other,Tumour,"12,63","15,46",",62","2,12","-,83",",69","-,45","-,87",",43","-,79","2,97","-1,31","-,26","1,78"
EL.A4JZ.01,Other,Tumour,"6,92","13,24","2,49","-,58",",44","1,53","-,22","-,99","-,22","-,74","-1,52","-,20","-1,58","-,01"
EM.A3SX.01,Other,Tumour,"9,07","15,31","1,09","-1,82","-2,50","1,22",",20","-1,93",",26","-1,81","-1,77",",48","-1,42","1,00"
BJ.A45I.01,Other,Tumour,"5,48","11,43","2,77","-1,75","-1,32","2,08",",04",",58","-,78","-1,25","-1,69","-,55","-2,38","2,05"
FE.A234.01,Other,Tumour,"6,17","12,55","1,87","-2,24","-1,33","2,02",",60","-,49","-1,46","-1,20","-,81",",05","-2,24","1,26"
DJ.A4UQ.01,Other,Tumour,"11,49","14,31","3,15","3,25","-,87","1,12","-,75","-,03","-,01","-1,14","1,85","-,16","-,38",",42"
DJ.A13S.01,Other,Tumour,"12,05","13,76","1,05","-2,24","-3,85","1,56",",03","-,78","-3,85","-,96","-,72","-,81","1,87","-,14"
EM.A2P1.01,Other,Tumour,"9,66","11,96","3,14","1,81","-,45","1,50",",25",",38","-,66","-1,00","-,30","-,23","-2,00","1,38"
EL.A3D5.01,Other,Tumour,"12,93","14,70","-,65","1,52","-3,85",",78","-1,80","-4,81","-1,25","-1,24","4,76","-,19","1,10","-4,14"
E8.A3X7.01,Other,Tumour,"7,53","13,97","2,54","-,68","-1,94","1,55","-,25","-,47","-1,85","-1,59","-,60","-,88","-1,88","1,66"
BJ.A28R.01,Tall_Cell,Tumour,"8,34","13,76","3,08","5,68","-2,14","2,31",",01",",07","-,95","-,34","-1,68",",08","-2,05","1,35"
BJ.A0ZE.01,Other,Tumour,"14,77","15,76","-,06","-1,47","-5,65","1,59","-1,50","-3,11","-3,74","-1,69","-,30","-1,66","3,53","-4,45"
ET.A4KN.01,Other,Tumour,"3,79","11,39","2,24","1,23","-,09","3,45","-1,46","-,04","-3,17","-2,08","-7,83","-1,58","-2,87","2,02"
EM.A3O7.01,Other,Tumour,"5,42","14,83","-,61","-2,24","-3,78",",89","-,29","-2,34",",44","-2,27",",84",",23","-2,87","2,12"
E3.A3E2.01,Other,Tumour,"9,05","14,07","1,23","2,37","-,81",",95","-,35","-1,09","-,18","-1,04","-,84","-,56","-2,41","1,75"
H2.A421.01,Other,Tumour,"8,80","12,94","2,11","3,37","-,72","1,18","-,25",",34","-,29","-1,33","-1,25","-,91","-1,17","2,34"
DE.A0Y3.01,Other,Tumour,"6,09","12,91","3,28","-1,43","-2,92","2,70",",39","1,02","-1,11","-1,68","-1,90","1,11","-1,77",",66"
EM.A1YA.01,Other,Tumour,"14,75","15,52","1,83","-1,51","-3,78","-,44","-1,25","-2,73","-,97",",09","2,26","-,34","4,37","1,46"
ET.A2N4.01,Other,Tumour,"4,00","15,08","1,03","-,17","-1,16","2,01","-,02","-1,28","-1,50","-2,47","-2,51","-,53","-2,43",",79"
IM.A41Z.01,Other,Tumour,"13,27","15,31","-1,58","-2,24","-1,96",",74","-,13","-,63","-2,29","-,53","-1,22","-1,33","2,59","-1,48"
EM.A1YD.01,Other,Tumour,"15,69","16,18",",24","5,13","-1,54",",60","-1,08","-2,90","-,78","-,66","5,45",",17",",72","-,81"
CE.A27D.01,Other,Tumour,"12,79","14,53","1,83","8,96","-,26","1,28","-,83","-1,00","-,62","-,77","2,52","-,80",",34","1,39"
EM.A3O6.01,Other,Tumour,"15,10","15,68",",32","4,04","-1,96","-,24","-1,98","-3,73","-2,02","-1,20","4,16","-1,76","4,60",",26"
DJ.A3UO.01,Other,Tumour,"8,47","12,47","4,00",",21","-2,70","2,21",",95","1,61","-2,22","-2,45",",84","-,93","-2,11","1,60"
ET.A40P.01,Other,Tumour,"11,52","14,90","-,23","1,42","-3,23","1,26","-,94","-1,68","-1,59","-,83","-1,22","-,90","3,06",",10"
ET.A25R.01,Other,Tumour,"5,26","13,01","2,78","-2,24","-,77","1,72",",19","-,08","-1,06","-1,97","-1,97",",51","-1,84",",32"
DJ.A3VI.01,Other,Tumour,"7,23","14,20","2,96","-1,29","-3,25","1,69","-,26","-,13","-1,30","-3,16","-1,74",",05","-2,87","1,67"
DJ.A3UQ.01,Other,Tumour,"9,64","12,85","2,44","3,88","-,14","1,25",",28","-,32","-,76","-,68",",31",",56","-1,86",",66"
DJ.A3VD.01,Other,Tumour,"11,18","12,67","2,88","4,82","1,07","1,76",",30","1,02",",20","-,72",",68",",61","-1,14","2,31"
DJ.A13L.01,Other,Tumour,"8,35","12,26","2,84","1,12",",77","1,50","-,28","-,09","-,64","-,70","-,78","-,40","-1,82","2,13"
BJ.A3PU.01,Classical,Tumour,"6,73","11,53","2,68","-1,08","-,69","1,76","-,44",",05","-1,58","-2,10","-2,02","-,83","-1,26","1,57"
FY.A3WA.01,Other,Tumour,"14,90","16,51","-1,09","-2,24","-2,78","1,15","-1,56","-2,52","-2,76","-1,24","4,56",",61","1,10","-3,05"
DJ.A1QH.01,Other,Tumour,"5,95","13,16","4,01",",08","-,58","1,60",",44",",30","-1,55","-1,80","-2,27",",34","-2,22","1,66"
DE.A4MC.01,Other,Tumour,"4,02","12,46","1,96","-1,01","-,91","1,87",",37",",43","-2,45","-2,29","-,75",",20","-1,44","1,62"
DJ.A3V7.01,Other,Tumour,"4,95","13,58","2,40","-2,24","-,66","1,27","-,20",",13","-1,30","-1,76","-1,66","-,74","-1,09","1,52"
BJ.A2P4.01,Other,Tumour,"13,65","16,37","-,14","-2,24","-,71","1,78","-,64","-2,85","-3,22","-1,55",",84","-1,96","3,75",",66"
DJ.A2PS.01,Other,Tumour,"10,93","14,79","1,45","3,18","-2,58","1,67",",13","-,78","-,39","-1,13","1,31",",50","-,98",",98"
ET.A25L.01,Other,Tumour,"7,82","12,62","2,11","-1,36","-,05","2,07",",44","-,11","-,86","-1,13","-1,54",",58","-2,87",",71"
E3.A3E1.01,Other,Tumour,"11,12","14,32","1,40","2,01","-1,02","1,74",",54","-,37","-,83","-1,32",",87","-,20","-,98","1,59"
L6.A4EU.01,Other,Tumour,"7,72","11,75","3,10","1,38","-,68","1,02","-,36","-1,95","-1,61","-1,44","-,14","-,50","-1,76","1,90"
E8.A417.01,Other,Tumour,"9,02","13,93",",78","-1,87","-1,63",",75",",18","-,40","-1,06","-2,13","1,00","-,37","-,59","-,69"
ET.A2MX.01,Classical,Tumour,"9,16","13,44","3,59","-1,40","-1,52","2,42","-1,06",",06","-3,73","-1,56","-2,69","-1,06","-,95","1,75"
DE.A4MA.01,Other,Tumour,"6,85","11,86","2,39","-1,08","-2,96","1,68","-,96",",12","-2,34","-2,13","-2,85","-1,01","-1,06","-,10"
EL.A3ZT.01,Classical,Tumour,"7,57","13,40","2,95",",80","-1,75","2,19","-,45",",19",",23","-,88","-,04","-,05","-2,87","1,82"
BJ.A4O8.01,Other,Tumour,"7,57","12,20","2,94",",74",",19","1,94",",07","-,58",",01","-1,00","-1,05",",05","-2,38","1,70"
J8.A3O0.01,Other,Tumour,"9,74","15,21",",36","-1,84","-2,06","2,13","-,50","-,63","-1,20","-,74","2,02","-1,21","2,01",",11"
DJ.A2PV.01,Other,Tumour,"9,69","14,62","3,06","2,64","-1,32","1,25",",37","-,20",",25","-,94",",53","2,03","-2,14","1,49"
EL.A3H8.01,Other,Tumour,"7,69","14,47","2,40","-1,76","-2,66","1,65",",51",",33","-,33","-1,19",",24","1,36","-2,03","1,02"
EM.A3FP.01,Other,Tumour,"14,71","14,91",",24","5,61","-2,59","2,48","-,72","-1,27","-1,77","-1,46","1,65","-2,16","3,89","-,87"
ET.A3BO.01,Other,Tumour,"3,87","11,97","3,20","-,38","-,48","1,49",",31",",02","-,51","-1,05","-,61",",65","-2,87","2,07"
EM.A2CS.01,Other,Tumour,"12,32","15,22","2,32","2,78","-2,68","1,51",",89","1,17","-1,13","-,81","1,04","1,71","-,11",",89"
ET.A25G.01,Other,Tumour,"9,06","12,18","3,54","-1,78","-1,14","2,94","-,07",",99","-,40","-1,45",",06",",81","-2,87",",90"
DJ.A3UK.01,Other,Tumour,"7,76","15,13","1,53","-1,82","-1,72","1,10","-,04","-,87",",64","-1,56",",24",",74","-2,12","1,23"
E8.A437.01,Other,Tumour,"11,35","14,39","1,62","1,38","-1,29","1,24","-,56","-1,04","-,47","-1,61",",91","-,88","-1,12","1,96"
ET.A3BT.01,Other,Tumour,"8,28","14,12","1,97","-2,24","-1,37",",91","-,05","-1,21","-,68","-1,20","-1,44","-,71","-2,19",",86"
ET.A3BQ.01,Other,Tumour,"10,23","14,74","2,07","-,58","-2,34","1,71",",39","-,02","-,51","-,93","1,85",",16","-2,24","2,02"
FY.A3YR.01,Other,Tumour,"5,18","13,27","2,19","-,34","-1,44","1,81","-,29","-,28","-,69","-,77","-1,91","-,30","-2,33","1,34"
KS.A4I9.01,Other,Tumour,"4,93","13,80","1,82","-1,02","-,56","1,85",",16","-2,33","-1,02","-1,40","-,99","-,83","-1,40","1,52"
DE.A7U5.01,Other,Tumour,"8,14","11,52","3,34","-1,11",",18","2,42","-,12",",57","-,47","-,74","-,94",",59","-2,87",",85"
EL.A3ZS.01,Classical,Tumour,"12,49","13,71","2,97","4,41","-,45",",56","-,78",",27",",42","-,65","1,38","-,08","-,45","1,83"
EM.A1CU.01,Other,Tumour,"10,02","13,36","2,80","-,95","-2,96","1,81","-,17",",40","-,35","-1,96","1,43",",60","-2,42","1,63"
EL.A3T3.01,Classical,Tumour,"7,63","13,37","2,94",",36","-1,16","2,06","-,61",",45","-,47","-1,90","-1,28","-,35","-2,87","2,16"
DJ.A1QF.01,Other,Tumour,"5,98","15,23",",67","-1,71","-1,64","1,79",",53","-,78","-1,09","-,56",",62","1,67","-2,87",",85"
DJ.A13R.01,Other,Tumour,"13,31","13,97","1,59","4,10","-1,10","-,17","-1,36","-,25","-1,29","-1,12","-,44","-1,55","4,27","2,35"
EL.A4K0.01,Other,Tumour,"7,62","13,11","5,11",",44","-,88","1,91",",19",",05",",94","-1,16","-1,20",",83","-2,43","1,79"
EL.A3GX.01,Other,Tumour,"6,10","12,62","1,89","-1,83","-,71","1,57",",05",",71","-,24","-1,04","-1,22",",22","-2,46","1,89"
EM.A2CU.01,Other,Tumour,"11,94","14,43","2,27","5,68","-2,07","2,31","-,74","-1,61","-1,36","-1,21","-,23","-,03",",11",",62"
DJ.A4UW.01,Other,Tumour,"11,75","13,80","2,66","6,07","-,35","1,21","-,04","-2,04","-,31","-,21",",98","-,09",",16","1,22"
DJ.A3UU.01,Other,Tumour,"11,82","14,91","2,07","4,83","-1,97",",90",",46","-,11",",13","-,88","1,41",",79","-,87","1,79"
E8.A433.01,Other,Tumour,"10,82","13,54","2,80","6,96","-1,50","1,63","-,68","-,56","-1,47","-1,28",",26","-1,06",",09","2,00"
QD.A8IV.01,Other,Tumour,"14,62","16,92",",56","3,15","-3,78","1,42","-,31","-2,80","-1,50","-,90","1,33","-,59","2,29",",10"
EM.A22O.01,Other,Tumour,"6,97","14,31","-,19","-1,26","-4,90",",72","1,03",",61","-1,93","-2,07","-2,09","-,62",",10","1,18"
BJ.A45F.01,Other,Tumour,"13,87","15,84","-1,37",",16","-2,37","1,49","-,39","-2,52","-2,61","-1,21","-,21","-,35","2,33","-3,23"
EM.A2OZ.01,Other,Tumour,"8,65","14,57",",70","-,06","-2,44","1,49","1,32",",17","-1,36","-1,01","-1,71",",69","-1,84","1,51"
DJ.A3UX.01,Other,Tumour,"13,21","14,97","1,43","7,47","-2,43",",75",",21",",26","-,05","-1,05","2,29",",57",",23","1,53"
ET.A3BV.01,Other,Tumour,"7,40","10,36","2,91","1,34","1,84","2,42","-,67",",79","-,53","-,48","1,40","1,35","-1,27",",92"
EL.A3N3.01,Classical,Tumour,"7,40","12,27","2,87","1,48","-1,50","2,32",",39",",76","-,81","-1,30","-1,84",",23","-1,99","1,91"
EM.A4FQ.01,Other,Tumour,"8,26","13,06","2,69","-,65","-,03","2,07",",38","-,12","-1,70","-2,81","-1,54","-,88","-1,86","1,32"
DJ.A4UL.01,Other,Tumour,"5,67","13,91","2,76","-2,24","-1,73",",94","-,44","-,79","-,48","-1,97","-,14","-1,28","-2,38","1,92"
CE.A484.01,Other,Tumour,"9,42","15,33",",85","-,53","-1,55","1,51","-1,26","-2,65","-2,82","-2,38","-1,10","-1,64","2,74","-,35"
DJ.A13W.01,Other,Tumour,"12,32","14,05","-2,14","-,23","-,54","2,23","-1,28","-4,98",",73","-,49","2,16","-1,25","5,41","3,26"
EL.A4JW.01,Other,Tumour,"10,79","14,11","2,22",",50","-2,28","3,19","-,12","1,04","-,84","-,22",",10",",77","-1,06","1,54"
BJ.A2N7.01,Follicular,Tumour,"14,09","15,71","1,33","2,46","-2,84",",98",",25","-1,48","-1,29","-1,09",",30","-,60","2,71","-1,62"
4C.A93U.01,Other,Tumour,"6,58","12,09","3,66","-2,24","1,60","1,79","-,10",",50","-1,78","-1,30","-1,76","1,57","-2,30",",62"
ET.A39R.01,Other,Tumour,"10,56","14,08","2,93",",44","-1,26","1,43",",08","-,02","-,46","-1,24",",97","-,58",",29","1,36"
DJ.A1QL.01,Other,Tumour,"13,96","14,63",",59","5,83","-2,67","1,85","-1,61","-3,54",",45","-,59","3,50","-1,34","1,41","1,51"
FK.A3SD.01,Other,Tumour,"16,33","16,16","-1,25","1,53","-3,14",",85","-2,83","-5,29","-,44","-2,46","3,67","-1,51","3,20",",52"
EL.A3CT.01,Other,Tumour,"10,04","12,76","4,18","2,82","-,22","1,95","1,31",",60","-1,12","-1,55","-1,37","1,17","-1,55","1,31"
EM.A3O3.01,Other,Tumour,"10,13","10,36","2,27","-,44",",39","1,77","-,41","-,79","-1,37","-1,74","-1,16","-,04","-2,87","1,17"
EM.A3OB.01,Other,Tumour,"11,96","14,92","2,51","-,37","-4,17","1,19","-,29","-2,64","-4,70","-1,27","-,35","-2,33","1,66","-3,33"
EL.A3D1.01,Other,Tumour,"11,30","13,27","1,10","4,51","-1,36","2,91","-,79","-,15","-3,01","-2,17","-1,50","-,72","-,69","-,18"
KS.A4I7.01,Other,Tumour,"6,56","13,95","2,30","-2,24","-1,76","1,84","-,28","-1,52","-1,10","-1,34","-1,52","-1,15","-2,17","1,63"
EM.A3FN.01,Other,Tumour,"15,27","15,06","-1,17","3,03","-3,43",",38","-2,40","-3,79","-2,17","-,39","3,19","-1,90","3,89","1,19"
CE.A13K.01,Other,Tumour,"6,82","13,74","2,80","2,28","-1,66","2,73","-,36","-1,64","-2,43","-1,29","-,65",",65","-1,30","-,59"
EL.A4K1.01,Other,Tumour,"8,16","13,08","1,38",",30","-1,78","1,56",",12","-1,01","-1,71","-,97","-1,47","-,98","-1,10","1,52"
FE.A3PD.01,Other,Tumour,"7,34","13,67","3,07","-,74","-,78","1,58","-,62","-1,93","-1,03","-1,39","-2,60","-1,61",",52",",27"
DJ.A3VM.01,Other,Tumour,"12,24","15,21","-1,14","-2,24","-3,64","1,83","-,06","-,63","-3,85","-,62","-,21",",13","2,17","-3,97"
ET.A4KQ.01,Other,Tumour,"14,27","16,11",",86","5,35","-2,66","1,51","-,28","-2,02","-2,23","-1,01","1,55","-,37","1,62","-,79"
EM.A3FO.01,Other,Tumour,"8,31","9,68","4,73","2,48","-4,11","3,10","-,32",",02","-1,73","-,81","-1,85","-,86","-2,87","1,89"
